,X,Y,Z
129,945.0142,398.4714,0
130,954.1176,397.785,0
131,963.235,397.0916,0
132,972.3636,396.3914,0
133,981.5006,395.6847,0
134,990.6432,394.9717,0
135,999.7887,394.2529,0
136,1008.9343,393.5284,0
137,1018.0771,392.7985,0
138,1027.2144,392.0634,0
139,1036.3438,391.3236,0
140,1045.4636,390.5795,0
141,1054.5734,389.8315,0
142,1063.672,389.0801,0
143,1072.7587,388.326,0
144,1081.8324,387.5694,0
145,1090.8922,386.8111,0
146,1099.9375,386.0514,0
147,1108.9672,385.2909,0
148,1117.9803,384.53,0
149,1126.9762,383.7694,0
150,1135.9537,383.0094,0
151,1144.9122,382.2506,0
152,1153.8506,381.4935,0
153,1162.7681,380.7386,0
154,1171.6638,379.9864,0
155,1180.5367,379.2373,0
156,1189.3861,378.492,0
157,1198.2111,377.7509,0
158,1207.0105,377.0144,0
159,1215.7838,376.2832,0
160,1224.5299,375.5577,0
161,1233.2479,374.8384,0
162,1241.937,374.1258,0
163,1250.5963,373.4204,0
164,1259.2247,372.7227,0
165,1267.8217,372.0333,0
166,1276.3861,371.3526,0
167,1284.9171,370.6812,0
168,1293.4138,370.0194,0
169,1301.8754,369.3679,0
170,1310.3008,368.7271,0
171,1318.6892,368.0976,0
172,1327.0404,367.4798,0
173,1335.3571,366.8741,0
174,1343.6436,366.2808,0
175,1351.9042,365.7003,0
176,1360.1429,365.1329,0
177,1368.3644,364.5789,0
178,1376.5724,364.0387,0
179,1384.7714,363.5126,0
180,1392.9657,363.001,0
181,1401.1593,362.5041,0
182,1409.3567,362.0223,0
183,1417.5619,361.556,0
184,1425.7792,361.1054,0
185,1434.0129,360.6709,0
186,1442.2672,360.2529,0
187,1450.5464,359.8517,0
188,1458.8545,359.4675,0
189,1467.196,359.1008,0
190,1475.5751,358.7518,0
191,1483.9958,358.421,0
192,1492.4625,358.1086,0
193,1500.9795,357.8149,0
194,1509.5509,357.5404,0
195,1518.181,357.2853,0
196,1526.874,357.05,0
197,1535.6343,356.8348,0
198,1544.4658,356.64,0
199,1553.3729,356.466,0
200,1562.36,356.3131,0
201,1571.431,356.1817,0
202,1580.5905,356.072,0
203,1589.8424,355.9844,0
204,1599.189,355.9189,0
205,1608.6271,355.8745,0
206,1618.1534,355.8504,0
207,1627.7643,355.8454,0
208,1637.4561,355.8587,0
209,1647.2253,355.8891,0
210,1657.0685,355.9358,0
211,1666.9819,355.9977,0
212,1676.9622,356.0738,0
213,1687.0055,356.1631,0
214,1697.1085,356.2646,0
215,1707.2677,356.3774,0
216,1717.4792,356.5005,0
217,1727.7399,356.6328,0
218,1738.0459,356.7733,0
219,1748.3937,356.9211,0
220,1758.7798,357.0752,0
221,1769.2006,357.2345,0
222,1779.6526,357.3981,0
223,1790.1321,357.565,0
224,1800.6357,357.7342,0
225,1811.1598,357.9047,0
226,1821.7008,358.0755,0
227,1832.2551,358.2456,0
228,1842.8193,358.414,0
229,1853.3898,358.5797,0
230,1863.9629,358.7418,0
231,1874.535,358.8992,0
232,1885.1028,359.0509,0
233,1895.6626,359.196,0
234,1906.2108,359.3333,0
235,1916.7439,359.4621,0
236,1927.2584,359.5812,0
237,1937.7506,359.6897,0
238,1948.2169,359.7865,0
239,1958.6541,359.8708,0
240,1969.0581,359.9413,0
241,1979.4258,359.9973,0
242,1989.7543,360.038,0
243,2000.0447,360.064,0
244,2010.2994,360.0764,0
245,2020.5208,360.0761,0
246,2030.7112,360.0643,0
247,2040.8728,360.042,0
248,2051.0083,360.0102,0
249,2061.1194,359.97,0
250,2071.2092,359.9225,0
251,2081.2795,359.8685,0
252,2091.3328,359.8093,0
253,2101.3713,359.7458,0
254,2111.3977,359.6792,0
255,2121.4141,359.6103,0
256,2131.4229,359.5403,0
257,2141.4263,359.4703,0
258,2151.4265,359.4012,0
259,2161.4263,359.334,0
260,2171.4277,359.27,0
261,2181.4331,359.21,0
262,2191.4448,359.1551,0
263,2201.4653,359.1064,0
264,2211.4968,359.065,0
265,2221.5417,359.0317,0
266,2231.6023,359.0078,0
267,2241.6812,358.9942,0
268,2251.78,358.992,0
