1674,2238.667,28
1670,2260,28
1712.667,2221.333,28
1767.333,2252,28
1826,2265.333,28
1886,2246.667,28
2792,2249,7
3009,2229,7
3027,2181,7
3173,2219,7
3232,2249,7
3279,2227,7
3285,2205,7
3129,2164,8
2852,2210,10
2861,2201,10
2842,2194,10
2852,2181,10
2860,2178,10
2950,2161,12
2957,2155,12
2964,2151,12
2968,2166,12
2960,2165,12
3003,2213,17
3073,2152,17
3088,2153,17
3088,2162,17
3098,2155,17
2911,2322,20
3086,2372,20
3170,2176,20
3188,2186,20
3195,2175,20
3182,2171,20
3260,2184,20
3268,2193,20
3273,2185,20
3056,2228,23
2920,2153,25
2952,2152,25
3002,2157,25
3095,2168,25
3114,2166,25
3128,2164,25
3160,2168,25
3227,2178,25
3248,2181,25
2977,2309,27
3005,2328,27
3057,2303,27
3146,2323,27
3169,2352,27
3234,2328,27
3246,2311,27
3353,2275,6
3468,2236,6
3481,2226,6
3497,2221,6
3483,2273,6
3478,2290,6
3457,2204,8
3526,2230,8
3536,2245,8
3561,2293,8
3477,2290,8
3449,2340,8
3496,2326,8
3678,2331,8
3699,2308,8
3428,2258,8
3453,2210,12
3473,2325,12
3370,2180,12
3272,2238,16
3215,2275,16
3262,2181,16
3349,2194,16
3487,2364,20
3346,2251,20
3471,2243,20
3320,2166,20
3345,2193,20
3375,2180,20
3406,2180,20
3425,2186,20
3439,2192,20
3448,2188,20
3461,2198,20
3477,2190,20
3478,2201,20
3490,2196,20
3508,2203,20
3365,2367,20
3246,2314,26
3233,2330,26
3245,2205,26
3227,2176,26
3246,2179,26
3334,2313,26
3387,2332,26
3413,2312,26
3466,2313,26
3474,2284,26
3495,2265,26
3522,2252,26
3497,2331.667,7
3559.667,2293.667,7
3542.333,2242.333,7
3522.333,2230.333,7
3599.667,2241.667,7
3797,2315.667,8
3746,2294.333,9
3728,2337.667,9
3623.333,2242.333,10
3640.667,2251.667,10
3653.333,2232.333,10
3676,2239,10
3652,2278.333,10
3620.667,2302.333,10
3662,2205,10
3676.667,2256.333,11
3652,2267,11
3651.333,2251,11
3565.333,2354.333,11
3672.667,2276.333,11
3685.333,2285.667,11
3696,2281,11
3740.667,2275,10
3759.333,2286.333,10
3781.333,2289,10
3773.333,2279.667,10
3690.667,2258.333,11
3700,2261.667,11
3708,2285,11
3798.667,2292.333,11
3660.667,2283.667,11
3666,2293,11
3688,2237.667,11
3700.667,2198.333,12
3735.333,2254.333,12
3761.333,2265.667,12
3743.333,2298.333,11
3779.333,2238.333,11
3713.333,2229.667,14
3727.333,2243,14
3745.333,2257.667,14
3707.333,2203,13
3780,2235.667,14
3802,2240.333,14
